Generic Name,BDDCS Class,Maximum Strength Dose Value,Maximum Strength Dose Unit,Formulation,Route,Measured Solubility (mg/mL),Dose Number,% Excreted Unchanged in Urine,MW Drug,MW Sol,pDose,Measured LogS (molar),Measured LogP,Measured LogD74,ALOGPS 2.1 solubility,cDose Number (ALOGPS based),minVSLgS 3-7.5,cDose Number (minVSLgS based),CLogP,HBA,HBD,PSA,Ro5,PSDA
Tolterodine,1,2,mg,tablets,oral,12,0.0007,1,325.5,325.5,5.21,-1.43,,,-4.8,1.6,-2.28,0.005,5.24,2,1,24.05,1,13.53
Toremifene,1,60,mg,tablets,oral,0.38,0.6,0.1,405.97,405.97,3.83,-3.03,,,-6.01,605,-4.75,33,6.53,2,0,10.28,1,39.49
Tramadol,1,50,mg,tablets,oral,,,20,263.38,263.38,3.72,,2.63,,-2.54,0.3,-0.59,0.003,3.1,3,1,32.84,0,8.02
Tranylcypromine Sulfate,1,10,mg,tablets,oral,48,0.0008,,133.19,133.19,4.12,-0.44,,0.69,-1.95,0.03,-0.33,0.0006,1.48,1,1,27.97,0,4.76
Triamcinolone,1,4,mg,tablets,oral,0.08,0.2,1,394.44,394.44,4.99,-3.69,1.16,1.16,-2.68,0.02,-3.07,0.05,0.71,6,4,126.78,0,3.11
Triamcinolone Acetonide,1,4,mg,tablets,oral,0.114,0.1,1,434.51,434.51,5.04,-3.58,2.53,2.3,-4.02,0.4,-4.17,0.5,2.21,6,2,99.25,0,4.38
Triazolam,1,1,mg,tablets,oral,0.045,0.04,2,343.22,343.22,5.84,-3.88,2.42,1.63,-4.27,0.1,-4.21,0.09,2.62,3,0,33.27,0,10.32
Trifluoperazine,1,10,mg,tablets,oral,50,0.0008,,407.5,407.5,4.61,-0.91,5.03,3.14,-4.65,4.4,-3.8,0.6,4.69,3,0,2.92,0,139.56
Trihexyphenidyl (Benzhexol),1,5,mg,tablets,oral,10,0.002,,301.48,301.48,4.78,-1.48,4.82,,-4.95,5.9,-1.94,0.006,5.15,2,1,23.73,1,12.7
Tropisetron,1,5,mg,capsules,oral,11,0.002,8,284.36,284.36,4.75,-1.41,,0.65,-2.3,0.01,-1.94,0.006,2.88,2,1,42.21,0,6.74
Urapidil,1,5,mg/mL,solution,injection (i.v.),19,,15,387.49,387.49,,-1.31,1.6,2.02,-2.84,,-3.74,,2.44,6,1,63.11,0,6.14
Valacyclovir,1,1000,mg,tablets,oral,174,0.02,0.5,324.34,324.34,2.51,-0.27,,,-1.96,1.1,-1.59,0.5,-1.22,7,3,144.8,0,2.24
Valganciclovir; Valcyte,1,450,mg,tablets,oral,70,0.03,,354.37,354.37,2.9,-0.7,,-2.05,-1.87,0.4,-1.54,0.2,-2.18,9,4,167.36,0,2.12
Valproic Acid,1,250,mg,tablets,oral,1.3,0.8,1.8,144.22,144.22,2.76,-2.05,2.75,0.13,-1.78,0.4,-1.45,0.2,2.76,2,1,40.83,0,3.53
Vardenafil,1,20,mg,tablets,oral,0.11,0.7,4,488.61,488.61,4.39,-3.65,,,-3.17,0.2,-4.03,1.8,2.23,7,1,104.88,0,4.66
Vasopressin,1,61,æg/mL,solution,injection (s.c.),0.1,,5,1084.25,1084.25,,-4.04,,,-3.92,,-2.25,,-3.82,16,15,504.48,3,2.15
Venlafaxine Hydrochloride,1,150,mg,tablets,oral,572,0.001,4.6,277.41,277.41,3.27,0.31,,,-3.06,2.5,-1.52,0.07,3.27,3,1,32.84,0,8.45
Verapamil Hydrochloride,1,120,mg,tablets,oral,0.75,0.64,1.5,454.61,491.06,3.58,-3.05,3.79,,-5.03,105,-4.11,13,4.47,6,0,56.29,0,8.08
Vinblastine,1,1,mg/mL,solution,injection (i.v.),10,,0.5,811,811,,-1.91,3.7,3.69,-4.69,,-6.97,,5.23,9,3,152.61,2,5.31
Vincristine,1,1,mg/mL,solution,injection (i.v.),10,,15,824.98,824.98,,-1.92,,2.57,-4.45,,-6.35,,4.04,9,3,170.88,1,4.83
Vinorelbine Tartrate,1,10,mg/mL,solution,injection (i.v.),1000,,11,778.95,778.95,,0.11,,,-4.8,,-6.71,,5.94,8,2,130.05,2,5.99
Vitamin B6 (Pyridoxine),1,25,mg,capsules,oral,222,0.0005,,169.18,169.18,3.83,0.12,-0.77,,-1.01,0.006,-0.75,0.003,-0.35,4,3,78.23,0,2.16
Vitamin D3 (Cholecalciferol),1,1,mg,tablets,oral,0.1,0.06,,384.65,384.65,5.44,-3.59,,,-6.01,15,-6.71,74,9.48,1,1,22.56,1,17.05
Vorozole,1,3,mg,tablets,oral,,,8,324.78,324.78,5.11,,,,-3.2,,-4.16,,2.2,4,0,50.83,0,6.39
Zidovudine,1,300,mg,capsules,oral,25,0.05,2.8,267.25,267.25,2.95,-1.03,0.05,0.08,-1.23,0.08,-2.31,0.9,0.04,6,2,127.3,0,2.1
Zolmitriptan,1,5,mg,tablets,oral,20,0.001,8,287.36,287.36,4.76,-1.16,,,-3.17,0.1,-1.03,0.0007,1.29,2,2,56.78,0,5.06
Zolpidem Tartrate,1,10,mg,tablets,oral,23,0.002,0.5,307.4,307.4,4.49,-1.13,,2.35,-3.97,1.2,-4.2,2,3.03,3,0,29.96,0,10.26
Zonisamide,1,100,mg,capsules,oral,0.8,0.5,22,212.23,212.23,3.33,-2.42,,-0.1,-2.02,0.2,-1.3,0.04,-0.36,3,1,88.84,0,2.39
Zopiclone,1,8,mg,tablets,oral,0.12,0.3,4.5,388.82,388.82,4.71,-3.51,1.5,-0.9,-2.66,0.04,-2.84,0.05,1.25,6,0,79.29,0,4.9
10-Hydroxy-Carbamazepine,2,,active metabolite,,,0.045,,27,254.29,254.29,,-3.75,,1.26,-3.4,,-3.15,,1.21,2,2,32.78,0,7.76
6-Methoxy-2-Naphthyl-Acetic Acid,2,,active metabolite,,,,,1,216.24,216.24,,,,-0.3,-3.76,,-2.29,,2.51,3,1,49.94,0,4.33
Acitretin,2,25,mg,capsules,oral,,,0,326.44,326.44,4.12,,6.4,,-5.83,207,-5.07,36,6.07,3,1,49.94,1,6.54
Albendazole,2,200,mg,tablets,oral,,,0,265.34,265.34,3.12,,,2.85,-4.07,35,-3.54,10,3.46,3,2,65.55,0,4.05
Albendazole Sulfoxide,2,,active metabolite,,,,,1,281.34,281.34,,,,,-4.07,,-3.28,,3.46,3,2,65.55,0,4.29
Allopurinol,2,300,mg,tablets,oral,0.569,2.1,12,136.11,136.11,2.66,-2.38,-0.55,-0.55,-0.81,0.06,-1.18,0.1,0.63,3,2,70.47,0,1.93
Altretamine,2,50,mg,capsules,oral,,,0.5,210.28,210.28,3.62,,2.73,,-1.84,0.07,-3.02,1,1.67,6,0,33.35,0,6.31
Aminoglutethimide,2,250,mg,tablets,oral,,,,232.28,232.28,2.97,,,1.41,-2.81,2.8,-2.35,1,0.77,3,2,78.79,0,2.95
Amiodarone Hydrochloride,2,400,mg,tablets,oral,0.7,2.3,0,645.32,645.32,3.21,-2.96,7.8,2.54,-5.14,342,-5.4,619,8.95,3,0,37.97,2,17
Amphotericin B,2,2,mg/mL,solution,injection (i.v.),0.1,,3.5,924.1,924.1,,-3.97,,,-4.04,,-6.4,,-3.65,17,12,347.83,3,2.66
Amprenavir,2,50,mg,capsules,oral,0.04,5,1,505.64,505.64,4,-4.1,,,-4.02,4.1,-5.03,43,3.29,6,3,139.36,1,3.63
Anidulafungin,2,3,mg/mL,solution,injection (i.v.),0.05,,0.5,1140.27,1140.27,,-4.36,,,-4.31,,-10.68,,2.2,17,14,415.56,3,2.74
Aprepitant,2,125,mg,capsules,oral,,,0,534.44,534.44,3.63,,,,-4.43,25,-5.28,177,4.6,5,2,78.12,1,6.84
Argatroban,2,1,mg/mL,solution,injection (i.v.),,,16,508.64,508.64,,,,,-3.47,,-1.8,,-0.57,9,6,192.2,2,2.65
Aripiprazole,2,30,mg,tablets,oral,0.0001,1200,0.5,448.4,448.4,4.17,-6.65,,3.2,-4.77,16,-4.64,12,5.31,4,1,43.7,1,10.26
Armodafinil,2,250,mg,tablets,oral,,,8,273.36,273.36,3.04,,,,-2.64,1.6,-2.82,2.4,0.94,2,1,64.62,0,4.23
Artemether,2,50,mg,tablets,oral,,,,298.38,298.38,3.78,,,,-2.81,0.4,-3.35,1.5,3.05,5,0,49.5,0,6.03
Astemizole,2,10,mg,tablets,oral,,,0.5,458.58,458.58,4.66,,5.7,3.88,-5.58,33,-5.4,22,6.09,4,1,35.37,1,12.97
Atazanavir Sulfate,2,300,mg,capsules,oral,,,7,704.87,704.87,3.37,,,,-5.34,372,-7.38,41023,5.92,7,5,186.22,2,3.79
Atorvastatin Calcium,2,80,mg,tablets,oral,0.0000204,15686,1,558.66,558.66,3.84,-7.44,,,-5.95,511,-6.47,1684,4.46,5,4,119.06,1,4.69
Azelastine Hydrochloride,2,457,æg/mL,solution,ophthalmic,,,2,381.91,381.91,,,,1.96,-4.62,,-2.37,,4.01,3,0,33.17,0,11.51
Bevantolol,2,200,mg,tablets,oral,0.1843,4.3,8,345.44,345.44,3.24,-3.27,3,3,-4.4,58,-3.15,3.3,3,5,2,64.45,0,5.36
Bexarotene,2,75,mg,capsules,oral,,,0.01,348.49,348.49,3.67,,,,-6.37,2018,-4.74,47,8.19,2,1,40.83,1,8.54
Bezafibrate,2,200,mg,capsules,oral,,,40,361.83,361.83,3.26,,,-0.17,-5.36,507,-3.79,14,3.7,4,2,82.78,0,4.37
Bicalutamide,2,50,mg,tablets,oral,0.005,40,,430.38,430.38,3.93,-4.93,,,-4.67,22,-4.32,9.8,2.71,5,2,110.56,0,3.81
Bosentan,2,125,mg,tablets,oral,0.001,500,2,551.63,551.63,3.64,-5.74,,,-4.79,56,-5.38,218,4.17,9,2,142.96,1,3.86
Buspirone,2,10,mg,tablets,oral,0.0214,1.9,0.1,385.51,385.51,4.59,-4.26,2.63,3.39,-2.81,0.07,-3.5,0.3,2.19,6,0,60.25,0,6.4
Cabergoline,2,1,mg,tablets,oral,,,3,451.62,451.62,5.96,,,,-3.43,0.01,-4.28,0.08,4.77,4,2,118.24,0,3.82
Calcipotriene; Calcipotriol,2,0,æg/mL,solution,"topical (skin, membranes)",,,0.5,412.62,412.62,,,,,-4.49,,-5.58,,5.27,3,3,67.68,1,6.1
Calcitriol,2,1,æg,capsules,oral,,,8,416.65,416.65,8.92,,,,-4.8,0.0003,-6.35,0.000000005,6.04,3,3,67.68,1,6.16
Carbamazepine,2,300,mg,tablets,oral,0.256,4.7,0.5,236.28,236.28,2.9,-2.97,2.45,2.45,-3.19,7.9,-3.32,11,2.38,1,1,46.81,0,5.05
"Carbamazepine 10,11-Epoxide",2,,active metabolite,,,0.1,,0.5,252.28,252.28,,-3.4,0.69,0.69,-2.29,,-3,,0.24,1,1,55.61,0,4.54
Carvedilol,2,25,mg,tablets,oral,0.01,10,1,406.49,406.49,4.21,-4.61,4.19,,-4.99,24,-4.3,5,4.04,5,3,78.42,0,5.18
Cefditoren Pivoxil,2,200,mg,tablets,oral,0.08,10,5,620.73,620.73,3.49,-3.89,,,-4.67,60,-6.88,9716,2.71,9,2,176.19,1,3.52
Cefpodoxime Proxetil,2,200,mg,tablets,oral,0.3,2.7,0,557.61,557.61,3.45,-3.27,,,-4.04,16,-4.79,88,0.8,10,2,183.53,1,3.04
Celecoxib,2,200,mg,capsules,oral,0.005,160,2,381.38,381.38,3.28,-4.88,,,-4.92,174,-4.47,62,4.37,3,1,78.91,0,4.83
Chlorzoxazone,2,500,mg,tablets,oral,0.25,8,0.5,169.57,169.57,2.53,-2.83,,,-1.51,0.4,-1.77,0.7,2.51,2,1,42.53,0,3.99
Ciclesonide,2,0,mg/inhalation,solution,nasal,0.0002,3.2,0,540.7,540.7,6.83,-6.43,,,-5.54,,-6.25,,5.25,6,1,103.75,2,5.21
Cilostazol,2,100,mg,tablets,oral,0.003,133,,369.47,369.47,3.57,-5.09,,,-4.07,13,-4.87,81,3.53,5,1,81.66,0,4.52
Cinacalcet,2,90,mg,tablets,oral,0.1,3.6,0.1,357.42,357.42,3.6,-3.55,,,-6.81,6503,-3.12,1.3,6.35,1,1,14.57,1,24.53
Cisapride,2,20,mg,tablets,oral,0.0027,30,,465.96,465.96,4.37,-5.24,,3.39,-4.56,6.2,-4.57,6.4,3.81,6,2,88.69,0,5.25
Citalopram,2,40,mg,tablets,oral,0.031,5.2,12,324.4,324.4,3.91,-4.02,3.41,0.74,-4.72,26,-2.83,0.3,3.13,3,0,28.67,0,11.32
Cladribine,2,1,mg/mL,solution,injection (i.v.),,,18,285.69,285.69,,,0.02,0.24,-1.65,,-2.15,,-0.91,7,3,112.88,0,2.53
Clofazimine,2,50,mg,capsules,oral,0.001,200,0.2,473.41,473.41,3.98,-5.68,7.48,,-6.91,3434,-5.84,295,7.7,4,1,34.09,1,13.89
Clofibrate,2,500,mg,capsules,oral,,,11,242.7,242.7,2.69,,3.6,3.6,-3.92,69,-1.63,0.4,3.02,3,1,36.17,0,6.71
Clopidogrel Bisulfate,2,75,mg,tablets,oral,0.05078,5.9,,321.83,321.83,3.63,-3.8,,,-4.42,25,-3.83,6.3,4.21,2,0,28.24,0,11.4
Clotrimazole,2,10,mg,tablets,oral,0.003,13,5,344.85,344.85,4.54,-5.06,4.8,,-5.4,29,-5.07,13,5.25,1,0,10.81,1,31.9
Clozapine,2,100,mg,tablets,oral,0.0118,34,0.5,326.83,326.83,3.51,-4.44,3.23,2.99,-3.23,2.1,-4.37,29,3.71,4,1,25.63,0,12.75
Conivaptan Hydrochloride,2,5,mg/ml,solution,injection (i.v.),0.15,,1,498.59,535.04,,-3.55,,,-5.45,,-6.73,,5,3,2,75.9,0,6.57
Cyclosporine,2,100,mg,capsules,oral,0.008,50,0.1,1202.64,1202.64,4.08,-5.18,2.95,2.92,-5.09,41,-10.73,17665399,14.36,12,5,290.07,3,4.15
Cyproterone Acetate,2,50,mg,tablets,oral,0.0021,95,1,416.95,416.95,3.92,-5.3,,,-5.44,132,-4.83,32,3.96,3,0,63.61,0,6.56
Danazol,2,200,mg,capsules,oral,0.0009,889,,337.47,337.47,3.23,-5.57,,,-4.27,44,-4.54,82,3.93,2,1,45.9,0,7.35
Dapsone,2,100,mg,tablets,oral,0.2,2,15,248.31,248.31,3.39,-3.09,0.97,0.97,-2.94,1.4,-2.71,0.8,0.89,4,2,92.1,0,2.7
Darunavir,2,600,mg,capsules,oral,0.15,16,1.2,547.68,547.68,2.96,-3.56,,,-3.91,36,-5.44,1201,2.89,7,3,148.15,1,3.7
Dasatinib,2,70,mg,tablets,oral,,,0.1,488.02,488.02,3.84,,,,-4.57,21,-4.7,29,2.88,8,3,101.85,0,4.79
Daunorubicin,2,5,mg/mL,solution,injection (i.v.),0.0392,,0.5,527.53,527.53,,-4.13,1.83,1.83,-2.9,,-3.89,,0.84,11,5,200.34,2,2.63
Delavirdine,2,200,mg,tablets,oral,0.00081,988,2.5,456.57,456.57,3.36,-5.75,,,-3.74,9.6,-4.8,109,2.41,6,3,110.6,0,4.13
Desloratadine,2,5,mg,tablets,oral,0.000077,260,5,310.83,310.83,4.79,-6.61,,,-4.86,4.7,-2.42,0.02,3.83,2,1,24.82,0,12.52
Diazoxide,2,100,mg,capsules,oral,0.15,2.7,35,230.67,230.67,3.36,-3.19,1.81,1.08,-2.62,0.7,-2,0.2,1.42,3,1,61.41,0,3.76
Dicoumarol,2,100,mg,tablets,oral,0.128,3.1,0.5,336.3,336.3,3.53,-3.42,2.07,1.86,-3.72,6.2,-3.06,1.4,3.66,4,2,101.12,0,3.33
Diflunisal,2,500,mg,tablets,oral,,,6,250.2,250.2,2.7,,4.44,0.76,-3.56,29,-2.17,1.2,4.4,3,2,63.7,0,3.18
Diloxanide Furoate,2,500,mg,tablets,oral,,,1,328.15,328.15,2.82,,1.96,,-3.93,52,-4.03,66,3.09,2,0,55.94,0,5.87
Dipyridamole,2,75,mg,tablets,oral,0.007,43,0.1,504.64,504.64,3.83,-4.86,,3.71,-2.77,0.4,-4.21,9.6,1.49,12,4,134.7,2,3.75
Disulfiram,2,250,mg,tablets,oral,0.2,5,0,296.54,296.54,3.07,-3.17,3.88,3.88,-4.38,81,-4.19,52,3.88,0,0,2.35,0,126.19
Docetaxel,2,40,mg/mL,solution,injection (i.v.),0.0065,,5,807.9,807.9,,-5.09,,,-4.8,,-7.05,,4.08,10,5,240.13,1,3.36
Domperidone,2,20,mg,tablets,oral,0.006,13,0,425.92,425.92,4.33,-4.85,3.9,3.33,-3.66,0.9,-4.31,3.8,4.27,3,2,66.8,0,6.38
Donepezil,2,10,mg,tablets,oral,0.0029,14,10.6,379.5,379.5,4.58,-5.12,,,-4.92,8.8,-4.1,1.3,4.6,4,0,37.66,0,10.08
Dronabinol; Tetrahydrocannabinol,2,10,mg,capsules,oral,,,0.5,314.47,314.47,4.5,,6.97,3.78,-5.07,15,-5.91,104,7.24,2,1,31.98,1,9.83
Dronedarone,2,400,mg,tablets,oral,0.5,3.2,0,556.77,556.77,3.14,-3.05,,,-5.44,791,-4.24,50,8.57,5,1,89.77,2,6.2
Drospirenone,2,3,mg,tablets,oral,,,0.1,366.5,366.5,5.09,,,,-5.21,5.3,-4.11,0.4,2.84,2,0,45.34,0,8.08
Dutasteride,2,1,mg,capsules,oral,,,0.5,528.54,528.54,6.02,,,,-5.76,2.2,-6.05,4.2,4.94,2,2,65.39,1,8.08
Ebastine,2,10,mg,tablets,oral,,,2,469.67,469.67,4.67,,,2.78,-6.86,617,-5.87,64,6.94,3,0,28.24,1,16.63
Efavirenz,2,600,mg,capsules,oral,0.005,480,0.5,315.68,315.68,2.72,-4.8,,,-4.57,282,-3.99,74,4.67,2,1,41.34,0,7.64
Entacapone,2,200,mg,tablets,oral,0.0166,48,0.2,305.22,305.22,3.18,-4.26,,,-3.59,10,-2.73,1.4,1.76,6,2,128.04,0,2.38
Eplerenone,2,50,mg,tablets,oral,,,3,414.5,414.5,3.92,,,0.85,-4.66,22,-4.02,5.1,0.29,4,0,81.19,0,5.11
Erlotinib Hydrochloride,2,164,mg,tablets,oral,0.4,1.6,0.3,393.45,393.45,3.38,-2.99,,,-4.64,73,-5.2,266,4.34,7,1,70.25,0,5.6
Estazolam,2,2,mg,tablets,oral,0.0015,5.3,4,294.75,294.75,5.17,-5.29,,,-3.84,0.2,-3.73,0.1,2.29,3,0,33.27,0,8.86
Ethchlorvynol,2,750,mg,capsules,oral,,,0.05,144.6,144.6,2.29,,,2.06,-2.99,20,-2.16,3,1.57,1,1,22.56,0,6.41
Etizolam,2,1,mg,tablets,oral,,,0.3,342.85,342.85,5.54,,,,-3.98,0.1,-3.82,0.08,2.87,3,0,33.27,0,10.3
Etodolac,2,600,mg,tablets,oral,0.01,240,1,287.36,287.36,2.68,-4.46,3.81,1.14,-3.85,59,-2.81,5.4,3.43,3,2,63.59,0,4.52
Etomidate,2,2,mg/mL,solution,injection (i.v.),0.045,,2,244.3,244.3,,-3.73,3.05,3.05,-2.7,,-3.49,,2.67,2,0,37.88,0,6.45
Etoricoxib; Arcoxia,2,120,mg,tablets,oral,0.14,3.4,0.5,358.85,358.85,3.48,-3.41,,,-5.11,172,-4.52,45,2.35,4,0,57.25,0,6.27
Etravirine,2,100,mg,tablets,oral,,,0,435.29,435.29,3.64,,,,-4.41,24,-6.76,5325,5.22,6,2,108.94,1,4
Exemestane,2,25,mg,tablets,oral,,,1,296.41,296.41,4.07,,,,-4.63,14,-3.95,3,3.28,2,0,36.54,0,8.11
Ezetimibe,2,10,mg,tablets,oral,,,2,409.44,409.44,4.61,,,,-4.66,4.5,-5.56,35,3.96,3,2,64.57,0,6.34
Febuxostat,2,80,mg,tablets,oral,0.013,25,3,316.38,316.38,3.6,-4.39,,,-3.85,7.2,-3.59,3.9,4.4,5,1,78.88,0,4.01
Felodipine,2,10,mg,tablets,oral,0.001,40,0.25,384.26,384.26,4.58,-5.58,3.86,,-4.74,5.7,-4.72,5.6,5.3,3,1,68.7,1,5.59
Fenofibrate,2,145,mg,capsules,oral,0.0008,725,0.1,360.84,360.84,3.4,-5.65,,4.8,-5.72,844,-5.47,476,5.23,3,0,54.44,1,6.63
Flufenamic Acid,2,100,mg,tablets,oral,0.0265,15,7,281.24,281.24,3.45,-4.03,5.25,2.06,-4.55,50,-3.41,3.7,5.53,3,2,54.8,1,5.13
Flunarizine,2,10,mg,tablets,oral,0.0165,2.4,0.2,404.51,404.51,4.61,-4.39,5.78,4.9,-5.36,23,-5.69,48,6.34,2,0,2.35,1,172.13
Fluphenazine Hydrochloride,2,10,mg,tablets,oral,0.031,1.3,0.1,437.53,510.45,4.64,-4.22,,3.48,-4.36,1.8,-4.11,1,4.12,4,1,25.48,0,17.17
Flurbiprofen,2,100,mg,capsules,oral,,,2.9,244.27,244.27,3.39,,4.16,0.91,-3.99,16,-2.76,0.9,3.75,2,1,40.83,0,5.98
Flutamide,2,125,mg,capsules,oral,0.0095,53,0.5,276.22,276.22,3.34,-4.46,3.35,4.06,-4.68,87,-3.17,2.7,3.34,3,1,76.69,0,3.6
Folic Acid,2,5,mg,tablets,oral,0.0016,13,,441.41,441.41,4.95,-5.44,-0.52,,-3.38,0.1,-2.59,0.02,-2.31,12,6,219.42,2,2.01
Fosamprenavir Calcium,2,700,mg,capsules,oral,0.31,9,0,585.62,585.62,2.92,-3.28,,,-2.93,4.1,-0.53,0.02,3.04,8,4,189.86,1,3.08
Fosinopril,2,40,mg,tablets,oral,0.022,7.3,0,563.68,563.68,4.15,-4.41,,2.32,-5.74,156,-5.95,253,7.45,5,1,115,2,4.9
Fulvestrant,2,50,mg/mL,solution,injection (i.m.),0.001,200,0.1,606.79,606.79,,-5.78,,,-4.97,,-8.28,,7.35,3,2,63.81,2,9.51
Gefitinib,2,250,mg,tablets,oral,0.0017,588,2,446.91,446.91,3.25,-5.42,4.85,,-4.22,37,-4.77,132,5.6,7,1,62.63,1,7.14
Gemfibrozil,2,600,mg,tablets,oral,0.019,126,0.5,250.34,250.34,2.62,-4.12,,1.33,-3.97,89,-3.15,14,3.94,3,1,49.94,0,5.01
Gliclazide,2,80,mg,tablets,oral,0.0039,82,0.5,323.42,323.42,3.61,-4.92,1.36,-0.07,-3.25,1.8,-2.98,0.9,1.09,4,2,89.39,0,3.62
Glimepiride,2,4,mg,tablets,oral,0.0012,13,0,490.63,490.63,5.09,-5.61,,,-4.1,0.4,-5.7,16,3.96,5,3,137.24,0,3.57
Glipizide,2,10,mg,tablets,oral,,,4.5,445.54,445.54,4.65,,1.91,-0.4,-4.46,2.6,-4.49,2.8,2.57,6,3,138.28,0,3.22
Glyburide (Glibenclamide),2,6,mg,tablets,oral,0.004,6,0,494.01,494.01,4.92,-5.09,,1.41,-5.4,12,-5.47,14,4.24,5,3,126.89,0,3.89
Griseofulvin,2,500,mg,tablets,oral,,,0.3,352.77,352.77,2.85,,2.18,2.18,-3.82,37,-3.12,8.8,1.91,6,0,72.65,0,4.86
Haloperidol,2,20,mg,tablets,oral,0.037,2.2,1,375.87,375.87,4.27,-4.01,4.3,3.16,-4.93,18,-3.68,1,3.85,3,1,42.01,0,8.95
Ibuprofen,2,800,mg,capsules,oral,0.038,84,0.5,206.29,206.29,2.41,-3.73,3.97,0.81,-3.46,45,-2.31,3.2,3.68,2,1,40.83,0,5.05
Idebenone,2,180,mg,capsules,oral,,,0.5,338.45,338.45,3.27,,,,-4.32,44,-4.81,138,3.42,5,1,76.69,0,4.41
Iloperidone,2,12,mg,tablets,oral,0.03,1.6,0.5,426.49,426.49,4.55,-4.15,,,-4.15,1.6,-3.87,0.8,4.27,5,0,61,0,6.99
Imatinib Mesylate,2,400,mg,capsules,oral,1,1.6,5,493.62,493.62,3.09,-2.69,,,-4.5,103,-5.77,1890,4.53,7,2,79.59,0,6.2
Indinavir Sulfate,2,400,mg,capsules,oral,0.015,107,,613.81,613.81,3.19,-4.61,2.92,,-4.13,35,-6.21,4206,3.68,7,4,123.4,1,4.97
Indobufen,2,200,mg,tablets,oral,,,13,295.34,295.34,3.17,,,-0.7,-3.58,10,-3.2,4.3,3.27,3,1,59.98,0,4.92
Indomethacin,2,50,mg,tablets,oral,0.0025,80,15,357.8,357.8,3.85,-5.16,4.27,0.77,-5.2,89,-3.11,4.7,4.18,4,1,68.78,0,5.2
Indoramin,2,25,mg,tablets,oral,,,5,347.46,347.46,4.14,,3.23,2.29,-4.62,12,-3.86,2.1,2.84,2,2,47.99,0,7.24
Irbesartan,2,300,mg,tablets,oral,0.08,15,2.5,428.54,428.54,3.15,-3.73,,1,-4.7,140,-2.82,1.9,6.04,5,1,82.47,1,5.2
Isotretinoin; 13-Cis-Retinoic Acid,2,40,mg,capsules,oral,,,0.5,300.44,300.44,3.88,,6.3,4.23,-4.8,34,-4.8,33,6.74,2,1,40.83,1,7.36
Isradipine,2,5,mg,capsules,oral,0.008,2.5,0,371.4,371.4,4.87,-4.67,4.28,3.67,-3.21,0.09,-4.14,0.7,3.92,5,1,105.96,0,3.51
Itraconazole,2,100,mg,capsules,oral,0.000001,400000,0.03,705.65,705.65,3.85,-8.85,5.66,3.27,-4.87,42,-8.44,157710,5.99,9,0,84.66,2,8.34
Ixabepilone,2,2,mg/mL,solution,injection (i.v.),,,5.6,506.71,506.71,,,,,-5.16,,-5.51,,3.08,6,3,115.27,1,4.4
Ketanserin,2,40,mg,tablets,oral,0.05,3.2,0.5,395.44,395.44,4,-3.9,3.29,2.18,-3.38,1,-5.1,51,3,4,1,70.53,0,5.61
Ketoconazole,2,200,mg,tablets,oral,0.0069,116,3,531.44,531.44,3.42,-4.89,4.35,4.05,-4.77,89,-5.99,1483,3.64,6,0,57.83,1,9.19
Ketoprofen,2,75,mg,capsules,oral,0.18,1.7,0.5,254.29,254.29,3.53,-3.15,3.12,-0.01,-4.07,14,-2.82,0.8,2.76,3,1,59.1,0,4.3
Lamotrigine,2,200,mg,tablets,oral,0.17,4.7,10,256.1,256.1,3.11,-3.18,,-0.19,-2.72,1.6,-2.75,1.8,2.53,5,2,88.97,0,2.88
Lansoprazole,2,30,mg,capsules,oral,0.00097,124,0,369.37,369.37,4.09,-5.58,,2.36,-3.17,0.5,-3.74,1.8,2.6,4,1,61.94,0,5.96
Lapatinib Ditosylate,2,250,mg,tablets,oral,0.001,1000,1,581.07,581.07,3.37,-5.76,,,-4.42,45,-7.19,26678,5.97,7,2,104.31,2,5.57
Latanoprost,2,1,mg/mL,solution,ophthalmic,0.05,,,432.61,432.61,,-3.94,,,-4.53,,-6.14,,3.6,4,3,94.74,0,4.57
Leflunomide,2,100,mg,tablets,oral,0.023,17,1,270.21,270.21,3.43,-4.07,,,-3.51,4.8,-2.99,1.4,2.32,2,1,55.88,0,4.84
Lofepramine,2,70,mg,tablets,oral,,,4,418.97,418.97,3.78,,,6.57,-5.71,343,-6.58,2554,7.29,3,0,20.02,1,20.16
Lopinavir,2,200,mg,capsules,oral,,,2.2,628.82,628.82,3.5,,,,-5.54,441,-7.32,26437,6.1,5,4,131.37,2,4.79
Loratadine,2,10,mg,tablets,oral,0.005,8,5,382.89,382.89,4.58,-4.88,5.2,5.2,-4.41,2.7,-5.32,22,5.05,2,0,38.48,1,9.95
Losartan Potassium,2,100,mg,tablets,oral,0.048,8.3,12,422.92,461.01,3.63,-3.98,,,-4.97,81,-2.04,0.09,4.1,5,2,86.79,0,4.87
Lovastatin,2,40,mg,tablets,oral,0.0004,400,10,404.55,404.55,4,-6,4.26,4.26,-4.2,6.3,-4.95,35,4.08,3,1,76.69,0,5.28
Mebendazole,2,100,mg,tablets,oral,,,,295.3,295.3,3.47,,2.83,2.42,-3.87,10,-4,13,3.08,4,2,83.82,0,3.52
Mefenamic Acid,2,250,mg,tablets,oral,0.08,13,1,241.29,241.29,2.98,-3.48,5.12,,-4.25,74,-3.36,9.6,5.29,3,2,54.8,1,4.4
